Job Color,Job Name,Actual Start,Contract Price,Job Running Total,Project Manager,Proj. Completion,Groups,Status,Job Type
,ADMS 2018,43864.0,1592558.49,1598200.14,Rene Sepulveda,44183.0,"Completed
Use for AI",CLOSED,Custom New Home
,ALVR 2014,42465.0,1287636.9,1308500.17,Rene Sepulveda,42825.0,Completed,CLOSED,New Homes
,AMLG 2021 - Design,44470.0,0.0,0.0,Jason Hebert,,Design,CLOSED,Custom New Home
,ANDR 2016,42887.0,1277185.0,1328329.11,Denny Berger,43252.0,Completed,CLOSED,New Homes
,BDLV 2026 - Design,46119.0,0.0,0.0,,,Construction,OPEN,Custom New Home
,BEMN 2019,,0.0,0.0,Michael Cartwright,,"Completed
Remodel",CLOSED,Other - Residential Remodeler
,BFIT 2014,,0.0,0.0,,,Completed,CLOSED,New Homes
,BRAY 2018,,2000000.0,2000000.0,Jason Hebert,,Cancelled,CLOSED,Other - Residential Remodeler
,BRDN 2025 - Design,,0.0,0.0,,46660.0,,CLOSED,Custom New Home
,BRDS 2026 - Design,46128.0,0.0,0.0,,,Remodel,OPEN,Other - Residential Remodeler
,BRGL 2021,44375.0,14999554.32,27455553.65,Susana Glenn,,"Construction
Design Build
Use for AI",OPEN,Custom New Home
,BRGL DOCK 2023,45005.0,1773344.87,2598855.07,Jason Hebert,,"Construction
Design Build",OPEN,Custom New Home
,BRGR 2020,44718.0,5963597.28,10784804.17,Truitt Jenkins,44777.0,"Construction
Use for AI",WARRANTY,Custom New Home
,BRGT 2026 - Design,,0.0,0.0,,,,OPEN,Custom New Home
,BRKS 2021,44470.0,0.0,0.0,Jason Hebert,,Cancelled,CLOSED,Custom New Home
,BRMN 2021,44440.0,0.0,0.0,Jason Hebert,,"Design
Construction
Remodel",CLOSED,Renovation/Tenant Improvements
,BRNC 2018,43507.0,1745644.5,1910162.29,Michael Cartwright,43945.0,Warranty,CLOSED,Custom New Home
,BSTN 2020,44348.0,2186527.31,2377525.19,Travis Ross,44799.0,"Warranty
Use for AI",CLOSED,Custom New Home
,CAIN 2013,41473.0,1430564.17,1430564.17,,,Warranty,CLOSED,New Homes
,CATE 2017,43482.0,4500000.0,4988771.72,"Denny Berger
Mike Scott",44561.0,Completed,CLOSED,New Homes
,CHRN 2022,44630.0,0.0,0.0,Jason Hebert,,Design,CLOSED,Custom New Home
,CIVILITEX,,0.0,0.0,,,Construction,OPEN,Custom New Home
,CLRK 2015,42326.0,1628217.0,1814180.74,,42706.0,Warranty,CLOSED,New Homes
,CNNR 2018,43948.0,2555298.02,2729547.84,Rene Sepulveda,44316.0,Warranty,CLOSED,Custom New Home
,CRTR 2017,43188.0,890358.98,944518.53,"Rene Sepulveda
Travis Ross",43553.0,Warranty,CLOSED,New Homes
,CRTS 2018,43752.0,1718221.07,1781029.31,Jason Hebert,44169.0,Warranty,CLOSED,Custom New Home
,CVRD 2026 - Design,,0.0,0.0,,,Design,OPEN,Custom New Home
,DALY Remodel,,0.0,0.0,Denny Berger,,"Construction
Remodel",CLOSED,New Homes
