server_folder_name,status_bucket,buildertrend_job_name(s),match_method,confidence,notes
AMLG2021,05 Active Projects,AMLG 2021 - Design,exact-code+year,high,
BDLV 2026,05 Active Projects,BDLV 2026 - Design,exact-code+year,high,
BRDS 2026,05 Active Projects,BRDS 2026 - Design,exact-code+year,high,
BRGL2021,05 Active Projects,BRGL 2021,exact-code+year,high,
BRGR2020,05 Active Projects,BRGR 2020,exact-code+year,high,
BRGT 2026,05 Active Projects,BRGT 2026 - Design,exact-code+year,high,
CVRD 2026,05 Active Projects,CVRD 2026 - Design,exact-code+year,high,
DBBS2026,05 Active Projects,DBBS 2026- Remodel,exact-code+year,high,
DRFW2020,05 Active Projects,DRFW 2020,exact-code+year,high,
ECHN2023,05 Active Projects,ECHN 2023,exact-code+year,high,
FRVW 2026,05 Active Projects,,no-match,none,likely pre-BuilderTrend / no BT record
HBNR2025,05 Active Projects,HBNR 2025-Design,exact-code+year,high,
HCKS2025,05 Active Projects,HCKS 2025 - Remodel,exact-code+year,high,
HSMN2024,05 Active Projects,HSMN 2024,exact-code+year,high,
JDBO2023,05 Active Projects,,internal-no-bt,n/a,Confirmed by Bethany: internal code for an office remodel - not a client job - no BuilderTrend record and none expected
JNKS2023,05 Active Projects,JNSN_E&S 2022,fuzzy(0.75),low,unconfirmed - verify manually
LDDR2025,05 Active Projects,,no-match,none,likely pre-BuilderTrend / no BT record
LMND 2023,05 Active Projects,,no-match,none,likely pre-BuilderTrend / no BT record
LRSN 2025,05 Active Projects,LRSN 2025 - Design,exact-code+year,high,
MCLN 2024,05 Active Projects,MCLN 2024,exact-code+year,high,
MRKM 2026,05 Active Projects,MRKM 2026 - Design,exact-code+year,high,
MRTN2021,05 Active Projects,MRTN 2021 - Design,exact-code+year,high,
OSWL2025,05 Active Projects,,no-match,none,likely pre-BuilderTrend / no BT record
PRNG2021,05 Active Projects,PRNG 2021 - Design,exact-code+year,high,
RDRG 2025,05 Active Projects,RDRG 2025-Furnishings; RDRG 2025-Remodel,exact-code+year,high,
RNNR 2025,05 Active Projects,RNNR 2025 - Design; RNNR 2025 - Interior Design Schedule Only,exact-code+year,high,
SLDN 2024,05 Active Projects,SLDN 2024 - Design,exact-code+year,high,
SMTH2025,05 Active Projects,SMTH 2023; SMTH 2026 - Design,code-match-multiple-BT-entries,medium,"2 BT jobs share this code - pick correct one, or both are sub-phases of one project. (SMTH 2017 ruled out - that's the separate, completed SMTH job below.)"
SYLV 2026,05 Active Projects,SYLV 2026 - Design,exact-code+year,high,
TJOS2022,05 Active Projects,TJOS 2022,exact-code+year,high,
TRAVIS CLUB,05 Active Projects,,no-match,none,likely pre-BuilderTrend / no BT record
WRHS,05 Active Projects,,no-match,none,likely pre-BuilderTrend / no BT record
ADMS2018,10 Completed Projects,ADMS 2018,exact-code+year,high,
ALVR 2014,10 Completed Projects,ALVR 2014,exact-code+year,high,
ANDR 2016,10 Completed Projects,ANDR 2016,exact-code+year,high,
BARK2012,10 Completed Projects,BRKS 2021,fuzzy(0.75),low,unconfirmed - verify manually
BRNC2018,10 Completed Projects,BRNC 2018,exact-code+year,high,
BSTN2020,10 Completed Projects,BSTN 2020,exact-code+year,high,
CAIN 2013,10 Completed Projects,CAIN 2013,exact-code+year,high,
CLRK 2014,10 Completed Projects,CLRK 2015,code-match-year-differs,medium,server year 2014 vs BT year 2015 - verify
CNNR 2018,10 Completed Projects,CNNR 2018,exact-code+year,high,
Community First,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
CRTR 2016,10 Completed Projects,CRTR 2017,code-match-year-differs,medium,server year 2016 vs BT year 2017 - verify
CRTS2018,10 Completed Projects,CRTS 2018,exact-code+year,high,
Dailey 2015,10 Completed Projects,DALY Remodel,fuzzy(0.80),low,unconfirmed - verify manually
DASS2019,10 Completed Projects,DASS 2019,exact-code+year,high,
Davison,10 Completed Projects,DVIS 2020,fuzzy(0.73),low,unconfirmed - verify manually
DRZF 2011,10 Completed Projects,DRFW 2020,fuzzy(0.75),low,unconfirmed - verify manually
DTHT2019,10 Completed Projects,DTHT 2019,exact-code+year,high,
DVIS2020,10 Completed Projects,DVIS 2020,exact-code+year,high,
EDWR 2016,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
EVRS 2017,10 Completed Projects,EVRS 2017,exact-code+year,high,
FLAS 2013,10 Completed Projects,FLAS 2013,exact-code+year,high,
FLGG 2017,10 Completed Projects,FLGG 2017,exact-code+year,high,
FRMR 2011,10 Completed Projects,FRMR 2013,code-match-year-differs,medium,server year 2011 vs BT year 2013 - verify
FRMR 2013,10 Completed Projects,FRMR 2013,exact-code+year,high,
FRNK 2017,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
FSHR 2013,10 Completed Projects,FSHR 2013,exact-code+year,high,
FSTR2021,10 Completed Projects,FSTR 2021,exact-code+year,high,
Glenn,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
GROUP FILE,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
GRVS 2016,10 Completed Projects,GRVS 2016,exact-code+year,high,
HALE 2009,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
Harvey,10 Completed Projects,,no-match,none,likely pre-BuilderTrend / no BT record
HCKM 2012,10 Completed Projects,HCKM 2012,exact-code+year,high,
HDSL 2012,10 Completed Projects,HDSL 2012,exact-code+year,high,
